,number,value,datetime_start,datetime_complete,duration,params_alpha_actor,params_alpha_critic,state
141,141,-0.17166908776765194,2024-09-28 20:57:06.971073,2024-09-28 20:57:12.497132,0 days 00:00:05.526059,0.5573523109868028,0.013128109173363312,COMPLETE
142,142,-0.14827683471554104,2024-09-28 20:57:12.498194,2024-09-28 20:57:18.265294,0 days 00:00:05.767100,0.3293863688441482,0.011271121123732537,COMPLETE
143,143,-0.37345867670232263,2024-09-28 20:57:18.266303,2024-09-28 20:57:23.150246,0 days 00:00:04.883943,0.29808684274280023,0.049448045335275734,COMPLETE
144,144,-0.303069252049649,2024-09-28 20:57:23.151379,2024-09-28 20:57:28.099047,0 days 00:00:04.947668,0.46367620680977434,0.030694932608094274,COMPLETE
145,145,-0.3878453448955883,2024-09-28 20:57:28.100064,2024-09-28 20:57:32.921645,0 days 00:00:04.821581,0.3576602164131717,0.052456088780911056,COMPLETE
146,146,-0.292281523047887,2024-09-28 20:57:32.923358,2024-09-28 20:57:38.050098,0 days 00:00:05.126740,0.3105310622954024,0.030294168210760586,COMPLETE
147,147,-0.4626437048135338,2024-09-28 20:57:38.051205,2024-09-28 20:57:42.311826,0 days 00:00:04.260621,0.3320557883354305,0.07738939039013484,COMPLETE
148,148,-0.30634578223209386,2024-09-28 20:57:42.312876,2024-09-28 20:57:46.998965,0 days 00:00:04.686089,0.6078063470898896,0.030155409319807796,COMPLETE
149,149,-0.5509568212157131,2024-09-28 20:57:46.999959,2024-09-28 20:57:49.825294,0 days 00:00:02.825335,0.262793741110994,0.7703648409436802,COMPLETE
150,150,-0.1601760353099467,2024-09-28 20:57:49.826326,2024-09-28 20:57:55.315790,0 days 00:00:05.489464,0.5265028070673848,0.011853723303874396,COMPLETE
151,151,-0.13186167813346486,2024-09-28 20:57:55.316895,2024-09-28 20:58:01.242536,0 days 00:00:05.925641,0.24173335607728236,0.010165962059506359,COMPLETE
152,152,-0.13711098713944264,2024-09-28 20:58:01.243668,2024-09-28 20:58:07.264185,0 days 00:00:06.020517,0.22662416608385133,0.010726430999574006,COMPLETE
153,153,-0.3848124437675971,2024-09-28 20:58:07.265244,2024-09-28 20:58:12.008177,0 days 00:00:04.742933,0.23369663121703965,0.05334577942697057,COMPLETE
154,154,-0.31897314286991474,2024-09-28 20:58:12.009255,2024-09-28 20:58:17.181809,0 days 00:00:05.172554,0.20931287964059703,0.03732320583263228,COMPLETE
